board_certs,doctor,doctor_type,education,gender,individual_rating,languages,npi,overall_patient_ratings,overall_rating,practice,street_address,city_state,zoc_awards
"American Board of Psychiatry and Neurology,Neurology with Special Qualification in Child Neurology (Psychiatry and Neurology)","Dr. Maja Ilic, MD","Pediatric Neurologist, Neurologist","Icahn School of Medicine at Mount Sinai, Residency in Pediatrics,NewYork-Presbyterian Hospital / Columbia University Medical Center, Fellowship in Clinical Neurophysiology and Epilepsy,State University of New York, Downstate Medical Center (Pediatric Neurology),Icahn School of Medicine at Mount Sinai (Residency),Medical School - Medicinski Fakultet, Sveucilišta u Zagrebu",Female,,"Croatian,English",1255652863,"4.5,4,4.5",4.5,Complete Neurological Care,"210 N Central Park Ave,, ,Suite 250,42-7 30th Ave,112-47 Queens Blvd,, ,Suite 206,225 Broadway,, ,Suite 705","Hartsdale,NY,10530,Astoria,NY,11103,Forest Hills,NY,11375,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Jane Yang, DDS","Dentist, Cosmetic Dentist","Dental School - New York University, Doctor of Dental Surgery,Fujian Provincial Hospital (Internship),Fujian Provincial Hospital (Residency)",Female,,"Chinese (Cantonese),Chinese (Fujian),Chinese (Mandarin),English",1437172251,"4.5,4,4",4.5,Jane Yang Dental PC,"5115 8th Avenue,53 Elizabeth Street,, ,2nd Floor","Brooklyn,NY,11220,New York,NY,10013",icon-scheduling-hero
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Martin Quirno, MD","Spine Specialist, Orthopedic Surgeon","Medical School - Instituto Universitario CEMIC Escuela de Medicina,New York University, Residency in Orthopedic Surgery,Rush University, Fellowship in Spine Surgery",Male,,"English,Portuguese,Spanish",1285883330,"4.5,4.5,4.5",4.5,"RYC Orthopaedics, P.C.","281 Broadway,, ,2nd Floor,1056 5th Avenue,1095 Park Avenue,263 7th Avenue,, ,Suite 2B","New York,NY,10007,New York,NY,10028,New York,NY,10128,Brooklyn,NY,11215","icon-see-you-again,icon-rapid-registration"
,Dr. Charles J. White,,,,,,,,,,,,
,Dr. Amy Wu,,,,,,,,,,,,
,"Melissa Tam, FNP, RN",Nurse Practitioner,"Columbia University, Doctorate in Nursing,Columbia University, Master's in Family Nursing,State University of New York, Binghamton University (Bachelor's)",Female,,English,1891178919,"4.5,4.5,4.5",4.5,Charles B. Wang Community Health Center,268 Canal Street,"New York,NY,10013","icon-rapid-registration,icon-speedy-response"
,"Pavel Khromchenko, DPT",Physical Therapist,"State University of New York, Stony Brook, Doctor of Physical Therapy,Tel Aviv University (Bachelor's)",Male,,"Russian,Gujarati,Chinese (Mandarin)",1386651081,"4.5,4.5,4.5",4.5,"First Class Physical Therapy, PC","200 Livingston Street,225 Broadway,, ,Suite 3040,111 North 7th Street,3065 Brighton 14th Street","Brooklyn,NY,11201,New York,NY,10007,Brooklyn,NY,11249,Brooklyn,NY,11235","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
"American Dental Society of Anesthesiology,American Dental Association,American Academy of Implant Dentistry,International Congress of Oral Implantologists,Academy of Osseointegration","Dr. Raphael Santore, DDS",Dentist,"Dental School - State University of New York, Stony Brook, Doctor of Dental Surgery,Kingsbrook Jewish Medical Center, Residency in Anesthesia and General Dentistry,Misch Implant Institute, Fellowship in Implantology,New York University, Fellowship in Implantology",Male,,"English,Italian,Spanish",1679731129,"5,4.5,5",5,DENTAL365,19 Murray St,"New York,NY,10007",icon-rapid-registration
,Dr. Alexander R. Rances,,,,,,,,,,,,
,Dr. Raul Cortes,,,,,,,,,,,,
,Nick Fager,,,,,,,,,,,,
,Dr. Darren Friedman,,,,,,,,,,,,
,"Lynn Rigney, PsyD",Psychologist,"New York University, Doctor of Psychology",Female,,English,1053742395,"5,5,5",5,Lynn Rigney,"291 Broadway,, ,Suite 1505,211 Central Park West,, ,Suite 1K","New York,NY,10007,New York,NY,10024","icon-speedy-response,icon-scheduling-hero"
,Michal Tziyon,,,,,,,,,,,,
"American Board of Anesthesiology,Pain Medicine (Anesthesiology)","Dr. Jonathann C. Kuo, MD",Pain Management Specialist,"NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Fellowship in Pain Management,Hospital for Special Surgery, Fellowship in Pain Management,Memorial Sloan-Kettering Cancer Center, Fellowship in Pain Management,NewYork-Presbyterian Hospital, Memorial Sloan-Kettering Cancer Center, Internship in Surgery,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in Anesthesiology,Medical School - Boston University, Doctor of Medicine",Male,,"Chinese (Mandarin),Taiwanese,English",1992966469,"5,4.5,4.5",5,Hudson Spine & Pain Medicine,"55-05 Myrtle Avenue,, ,2nd Floor,281 Broadway,, ,2nd Floor","Ridgewood,NY,11385,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Beth Israel Medical Group,The Mount Sinai Hospital","Dr. Salvatore Cannizzo, MD","Internist, Primary Care Doctor","Medical School - Cornell University, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in  Internal Medicine",Male,,"English,Italian",1619051091,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Maria Sequeira,,,,,,,,,,,,
,Dr. Raphael Santore,,,,,,,,,,,,
,"Dr. Linda Tang, MD",Gastroenterologist,"Cleveland Clinic, Fellowship in Inflammatory Bowel Disease,Medical School - Queen's University Faculty of Health Sciences, Doctor of Medicine,University of Manitoba, Winnipeg, Fellowship in Gastroenterology,University of Manitoba, Winnipeg, Residency in Internal Medicine",Female,,English,1700059185,"4,3.5,4.5",4,BROOKLYN,"5715 7th Ave,8686 Bay Parkway,, ,M1,139 Centre Street,, ,Suite 704,42-35 Main Street,, ,Suite 3E","Brooklyn,NY,11220,Brooklyn,NY,11214,New York,NY,10013,Flushing,NY,11355",icon-scheduling-hero
NewYork-Presbyterian/Lower Manhattan Hospital,"Dr. Brian Quinn, DPM",Podiatrist,"New York College of Podiatric Medicine, Doctor of Podiatric Medicine",Male,,"English,Spanish",1447399100,"5,4.5,5",5,Brian P. Quinn DPM,"20 Monroe St,, ,Suite 1F,25 St James Pl,121 East 60th Street,122 Fulton Street,, ,5th Floor","New York,NY,10002,New York,NY,10038,New York,NY,10022,New York,NY,10038",icon-see-you-again
Gastroenterology (Internal Medicine),"Dr. Prem Chattoo, DO",Gastroenterologist,"Medical School - New York Institute of Technology, New York College of Osteopathic Medicine, Doctor of Osteopathic Medicine,Saint Vincent's Medical Center, Manhattan (Fellowship),Winthrop-University Hospital (Residency)",Male,,"English,Spanish",1255395083,"4.5,3.5,4.5",4.5,Hudson River Gastroenterology,"460 Grand Street,631 Grand St.,, ,2nd Floor St 645,122 Fulton St.,, ,6th Floor","New York,NY,10002,Jersey City,NJ,07304,New York,NY,10038","icon-see-you-again,icon-rapid-registration"
,"Dr. Careen Fletcher, DMD","Dentist, Cosmetic Dentist","Dental School - Rutgers, The State University of New Jersey, Doctor of Dental Medicine",Female,,English,1619378106,"4.5,4.5,4.5",4.5,Nassau Street Dental Associates,"122 Fulton Street,, ,2nd Floor,122 Fulton Street,, ,2nd Floor","New York,NY,10038,New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Priya Sekhri, DMD","Dentist, Cosmetic Dentist","Dental School - University of Pennsylvania, Doctor of Dental Medicine",Female,,"English,Hindi",1447414651,"4.5,4.5,4.5",4.5,Nassau Street Dental Associates,"122 Fulton Street,, ,2nd Floor,122 Fulton Street,, ,2nd Floor","New York,NY,10038,New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Charles Hashim,,,,,,,,,,,,
"New York University Elaine A. and Kenneth G. Langone Medical Center,The Mount Sinai Hospital","Dr. Melissa Kanchanapoomi Levin, MD",Dermatologist,"Medical School - University of California, San Francisco, Doctor of Medicine,New York University Elaine A. and Kenneth G. Langone Medical Center, Residency in Dermatology",Female,,English,1831488014,"5,4.5,5",5,DOWNTOWN DERMATOLOGY,"291 Broadway,, ,Suite 1803","New York,NY,10007","icon-see-you-again,icon-rapid-registration"
,"Dr. James Farren, DC",Chiropractor,"University of Bridgeport, Doctor of Chiropractic Medicine",Male,,"English,Spanish",1558393165,"5,5,4.5",5,"Dr. James Farren, DC","139 Fulton Street,, ,Suite 136","New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Rachel Conry,,,,,,,,,,,,
"American Dental Society of Anesthesiology,American Dental Association,American Academy of Implant Dentistry,International Congress of Oral Implantologists,Academy of Osseointegration","Dr. Raphael Santore, DDS",Dentist,"Dental School - State University of New York, Stony Brook, Doctor of Dental Surgery,Kingsbrook Jewish Medical Center, Residency in Anesthesia and General Dentistry,Misch Implant Institute, Fellowship in Implantology,New York University, Fellowship in Implantology",Male,,"English,Italian,Spanish",1679731129,"5,4.5,5",5,DENTAL365,19 Murray St,"New York,NY,10007",icon-rapid-registration
,"Dr. Audrey Abatemarco, DPM",Podiatrist,"New York College of Podiatric Medicine, Doctor of Podiatric Medicine,New York College of Podiatric Medicine, Residency in Orthopedics and Surgery",Female,,"English,Spanish",1346336948,"4.5,4.5,5",4.5,Brian P. Quinn DPM,"20 Monroe St,, ,Suite 1F,25 St James Pl,121 East 60th Street,122 Fulton Street,, ,5th Floor","New York,NY,10002,New York,NY,10038,New York,NY,10022,New York,NY,10038","icon-see-you-again,icon-scheduling-hero"
"American Board of Internal Medicine,Gastroenterology (Internal Medicine)","Dr. Rajiv Uppal, MD",Gastroenterologist,"Medical School - Christian Medical College, Ludhiana, Bachelor of Medicine, Bachelor of Surgery,Monmouth Medical Center (Internal Medicine),New York Methodist Hospital (Pediatrics),Veterans Affairs Medical Center (Gastroenterology)",Male,,"English,Hindi",1508804345,"5,5,5",5,"Rajiv Uppal, M.D.","122 Fulton St.,, ,4th Floor","New York,NY,10038","icon-speedy-response,icon-scheduling-hero"
American Board Of Anti-Aging & Regenerative Medicine,"Dr. Anthony Azar, MD",Primary Care Doctor,"Medical School - Drexel University, Doctor of Medicine,Metropolitan Hospital Center, Residency in Emergency Medicine,New York Medical College, Residency in Emergency Medicine",Male,,"English,Spanish",1457307506,"4.5,4,5",4.5,Anthony Azar MD at Ageless Medical New York,"101 Lafayette St.,, ,6th Floor","New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Christopher Chow,,,,,,,,,,,,
,Dr. Anthony Ng,,,,,,,,,,,,
American Board of Orthopaedic Surgery,"Dr. Kenneth McCulloch, MD, FAAOS",Orthopedic Surgeon,"Saint Luke's-Roosevelt Hospital Center, Residency in General Surgery,Medical School - Rutgers, The State University of New Jersey, Doctor of Medicine,Columbia University, Saint Luke's-Roosevelt Hospital Center, Residency in Orthopedic Surgery,Princeton University (Bachelor’s),Stanford University, Fellowship in Adult Reconstruction",Male,,"English,Spanish",1831199819,"4.5,4,4.5",4.5,"Kenneth McCulloch, MD","110 Duane Street,69-02 Austin St,, ,3rd Floor,329 East 149th St,, ,Second Floor,381 Teaneck Road,, ,Ground Floor,825 East Gate Boulevard,, ,Suite 100","New York,NY,10007,Forest Hills,NY,11375,Bronx,NY,10451,Teaneck,NJ,07666,Garden City,NY,11530","icon-rapid-registration,icon-speedy-response"
The Mount Sinai Hospital,"Dr. Sapna Palep, MD",Dermatologist,"Medical School - New York Medical College, Doctor of Medicine,The Mount Sinai Hospital, Residency in Dermatology",Female,,"English,Spanish,Telugu",1104084334,"5,4.5,5",5,Spring Street Dermatology,"95 Chambers Street,73 Spring Street,, ,Suite 303","New York,NY,10007,New York,NY,10012","icon-see-you-again,icon-rapid-registration"
,Dr. Maryann Mikhail,,,,,,,,,,,,
,Dr. Jeanyoung Kim,,,,,,,,,,,,
,Dr. Krista McKenzie,,,,,,,,,,,,
,"Dr. Aaron Savedoff, MD",Psychiatrist,"Medical School - New York Medical College, Doctor of Medicine,Mount Sinai Health System, Saint Luke's-Roosevelt Hospital Center, Residency in Psychiatry",Male,,English,1962796854,"5,5,5",5,FiDi Psychiatry,"225 Broadway,, ,Suite 1905","New York,NY,10007","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Philip Glickman,,,,,,,,,,,,
American Board Of Anti-Aging & Regenerative Medicine,"Dr. Anthony Azar, MD",Primary Care Doctor,"Medical School - Drexel University, Doctor of Medicine,Metropolitan Hospital Center, Residency in Emergency Medicine,New York Medical College, Residency in Emergency Medicine",Male,,"English,Spanish",1457307506,"4.5,4,5",4.5,Anthony Azar MD at Ageless Medical New York,"101 Lafayette St.,, ,6th Floor","New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Board of Psychiatry and Neurology,"Dr. David Salvage, MD","Addiction Specialist, Psychiatrist","Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine",Male,,English,1033290317,"4.5,5,5",4.5,"David Salvage, MD","291 Broadway,, ,Suite 1401,199 6th Avenue","New York,NY,10007,Brooklyn,NY,11217",icon-speedy-response
,Nick Fager,,,,,,,,,,,,
,Keven Duffy,,,,,,,,,,,,
,Dr. Mark Rybakov,,,,,,,,,,,,
,"Ruschelle Khanna, LCSW",Psychotherapist,"Columbia University, Master's in Social Work",Female,,English,1912137613,"5,5,5",5,"Ruschelle Khanna, LCSW & Associates PLLC","26 East 36th Street,115 Broadway,, ,1800","New York,NY,10016,New York,NY,10006",icon-speedy-response
New York-Presbyterian Hospital / Weill Cornell Medical Center,"Dr. Laurence Saul, MD","Child and Adolescent Psychiatrist, Psychiatrist","NewYork-Presbyterian Hospital / Columbia University Medical Center, Fellowship in Child and Adolescent Psychiatry,NewYork-Presbyterian Hospital / Columbia University Medical Center, Internship in Psychiatry,NewYork-Presbyterian Hospital / Columbia University Medical Center, Residency in Psychiatry,New York University, The Sackler Institute, Fellowship in Parent and Infant Psychiatry,Medical School - Tufts University, Doctor of Medicine",Male,,English,1821146515,"4,4.5,4",4,Laurence R. Saul,"291 Broadway,, ,Suite 1505,211 Central Park West,, ,Suite 1K","New York,NY,10007,New York,NY,10024","icon-rapid-registration,icon-scheduling-hero"
,Dr. Jeffrey Buckner,,,,,,,,,,,,
New York-Presbyterian Hospital / Weill Cornell Medical Center,"Dr. Trenton Collier, MD",Primary Care Doctor,"Medical School - University of Texas, Southwestern, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center (Internship),NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in Internal Medicine,Texas A&M University (Bachelor’s)",Male,,English,1487811121,"5,4.5,5",5,Weill Cornell Internal Medicine,"156 William Street,, ,7th Floor","New York,NY,10038","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Wendy Bond,,,,,,,,,,,,
,Dr. Ryan S. Sultan,,,,,,,,,,,,
,Dr. Vadim Kushnerik,,,,,,,,,,,,
,"Dr. Michael Tanzer, MD",Psychiatrist,"Medical School - St. George's University School of Medicine, Doctor of Medicine,New York University (Bachelor's),Saint Luke's-Roosevelt Hospital Center, Residency in Psychiatry",Male,,English,1356635908,"5,5,5",5,Michael Tanzer MD,"65 Broadway,, ,Suite 739","New York,NY,10006","icon-see-you-again,icon-speedy-response"
"American Board of Psychiatry and Neurology,Psychiatry (Psychiatry and Neurology)","Dr. Edward Fruitman, MD",Psychiatrist,"Albert Einstein College of Medicine of Yeshiva University, Montefiore Medical Center, Residency in Psychiatry,Medical School - Michigan State University, Doctor of Medicine,University of Michigan (Bachelor's)",Male,,"English,Russian",1558434134,"4.5,4.5,4.5",4.5,Trifecta Health Medical Center,"1430 Broadway,, ,Suite 900,30 East 60th Street,, ,Suite 2403,115 Broadway,, ,Suite 1300","New York,NY,10018,New York,NY,10022,New York,NY,10006","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Robert Weston,,,,,,,,,,,,
,Dr. Yixiu Zheng,,,,,,,,,,,,
,Dr. Ilya Kleyn,,,,,,,,,,,,
,Dr. Jeffrey Buckner,,,,,,,,,,,,
"American Board of Psychiatry and Neurology,Psychiatry (Psychiatry and Neurology)","Dr. D Harshad Bhatt, MD, PhD",Psychiatrist,"New York University (Bachelor’s),New York University (Master’s),NewYork-Presbyterian Hospital, Residency in Psychiatry,State University of New York, Stony Brook, PhD in Neurobiology and Behavior,NYU Skirball Institute of Biomolecular Medicine (Fellowship),Medical School - State University of New York, Stony Brook, Doctor of Medicine",Male,,English,1487971792,"5,5,5",5,Soho Group,"333 Hudson Street,, ,Suite 907","New York,NY,10013","icon-see-you-again,icon-scheduling-hero"
,"Kelley Hershman, LMHC, MA",Psychotherapist,"New York University, Master’s in Counseling Psychology,University of California, Santa Barbara (Combined Counseling, Clinical and School Psychology)",Female,,English,1023496163,"4,4.5,4",4,"Kelley P. Hershman, LMHC & Associates","159 Bleecker Street,, ,Mezzanine Floor,96 W Houston St,, ,# 1R,96 W Houston St,, ,# Grnd Flr,96 W Houston St,, ,# 1F","New York,NY,10012,New York,NY,10012,New York,NY,10012,New York,NY,10012","icon-speedy-response,icon-scheduling-hero"
,Ariel Friedman,,,,,,,,,,,,
,Michal Tziyon,,,,,,,,,,,,
,"Anthony Freire, LMHC",Psychotherapist,"Christ Hospital (Residency),New York University, Certificate in Advanced Clinical Practice,New York University (HIV Prevention and Counseling),New York University, Bachelors in Psychology,New York University, Masters in Counseling for Mental Health and Wellness",Male,,"English,Portuguese",1417224668,"4.5,5,4.5",4.5,The SoHo Center for Mental Health Counseling,"96 W Houston Street,, ,Suite 1F,96 West Houston Street,, ,Suite 1R,159 Bleecker Street,, ,Mezzanine Floor","New York,NY,10012,New York,NY,10012,New York,NY,10012","icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Hetal Reddy,,,,,,,,,,,,
,Dr. Julia Yacoob,,,,,,,,,,,,
,Jason Walter,,,,,,,,,,,,
American Board of Psychiatry and Neurology,"Dr. Stephen Coleman, MD, LAc","Psychiatrist, Acupuncturist","Bellevue Hospital Center, Residency in Psychiatry,Jackson Memorial Hospital, Internship in Pediatrics,Medical School - University of Michigan, Doctor of Medicine",Male,,English,1588739262,"5,5,5",5,"Stephen J. Coleman, MD.","200 East 33rd St,, ,Suite 2F,23 Woodland Drive","New York,NY,10016,Sands Point,NY,11050","icon-see-you-again,icon-scheduling-hero"
,Dr. Alexander Alvarado,,,,,,,,,,,,
,Dr. Neelima Tangirala,,,,,,,,,,,,
American Board of Internal Medicine,"Dr. Shirin Peters, MD","Internist, Primary Care Doctor","Medical School - New York Medical College, Doctor of Medicine,Saint Vincent's Hospital, Manhattan, Internship in Internal Medicine,Saint Vincent's Hospital, Manhattan, Residency in Internal Medicine,Wyckoff Heights Medical Center, Residency in Internal Medicine",Female,,English,1588960389,"4.5,4,4",4.5,Bethany Medical Clinic of New York,"200 West 57th Street,, ,Suite 904,130 W 79th St,222 E 31st Street,, ,Suite 1R","New York,NY,10019,New York,NY,10024,New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Kate Engstrom,,,,,,,,,,,,
,"Kelley Hershman, LMHC, MA",Psychotherapist,"New York University, Master’s in Counseling Psychology,University of California, Santa Barbara (Combined Counseling, Clinical and School Psychology)",Female,,English,1023496163,"4,4.5,4",4,"Kelley P. Hershman, LMHC & Associates","159 Bleecker Street,, ,Mezzanine Floor,96 W Houston St,, ,# 1R,96 W Houston St,, ,# Grnd Flr,96 W Houston St,, ,# 1F","New York,NY,10012,New York,NY,10012,New York,NY,10012,New York,NY,10012","icon-speedy-response,icon-scheduling-hero"
,Kelley Hershman,,,,,,,,,,,,
,Anthony Freire,,,,,,,,,,,,
Lenox Hill Hospital,"Dr. Matthew Pabis, MD",Family Physician,"Ellis Hospital, Residency in Family Medicine,Medical School - St. Matthew's University School of Medicine (Grand Cayman), Doctor of Medicine",Male,,"English,Polish",1376981589,"5,4.5,5",5,Dr. Matthew Pabis,57 St Marks Pl,"New York,NY,10003","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
